,index_type,M,efConstruction,ef,recall,query_per_sec,loss
5631,HNSW,14,308,7300,100.0,3186.822070600392,-3181.822070600392
5632,HNSW,14,308,7400,100.0,3153.327519321565,-3148.327519321565
5633,HNSW,14,308,7500,100.0,3109.632935698876,-3104.632935698876
5634,HNSW,14,308,7600,100.0,3058.276581161682,-3053.276581161682
5635,HNSW,14,308,7700,100.0,3042.5696751635787,-3037.5696751635787
5636,HNSW,14,308,7800,100.0,3029.712725460311,-3024.712725460311
5637,HNSW,14,308,7900,100.0,2987.0343334496533,-2982.0343334496533
5638,HNSW,14,308,8000,100.0,2952.321423543656,-2947.321423543656
5639,HNSW,14,308,8100,100.0,2718.9835342927527,-2713.9835342927527
5640,HNSW,14,308,8200,100.0,2323.032018299336,-2318.032018299336
5641,HNSW,14,308,8300,100.0,2905.3468638520417,-2900.3468638520417
5642,HNSW,14,308,8400,100.0,2807.845867530694,-2802.845867530694
5643,HNSW,14,308,8500,100.0,2788.2283336324776,-2783.2283336324776
5644,HNSW,14,308,8600,100.0,2870.4909730491795,-2865.4909730491795
5645,HNSW,14,308,8700,100.0,2842.8635334625656,-2837.8635334625656
5646,HNSW,14,308,8800,100.0,2797.340251702359,-2792.340251702359
5647,HNSW,14,308,8900,100.0,2602.183839587056,-2597.183839587056
5648,HNSW,14,308,9000,100.0,2227.623933802832,-2222.623933802832
5649,HNSW,14,308,9100,100.0,2687.2266678626115,-2682.2266678626115
5650,HNSW,14,308,9200,100.0,2691.7795647514104,-2686.7795647514104
5651,HNSW,14,308,9300,100.0,2702.6025322980768,-2697.6025322980768
5652,HNSW,14,308,9400,100.0,2625.1808827579302,-2620.1808827579302
5653,HNSW,14,308,9500,100.0,2604.2681071683587,-2599.2681071683587
5654,HNSW,14,308,9600,100.0,2600.2802197120927,-2595.2802197120927
5655,HNSW,14,308,9700,100.0,2594.297165901753,-2589.297165901753
5656,HNSW,14,308,9800,100.0,2575.4362696336684,-2570.4362696336684
5657,HNSW,14,308,9900,100.0,2559.609434595551,-2554.609434595551
5658,HNSW,14,308,10000,100.0,2572.687570538299,-2567.687570538299
5659,HNSW,14,308,10100,100.0,2584.784524462467,-2579.784524462467
5660,HNSW,14,308,10200,100.0,2527.6941434546266,-2522.6941434546266
5661,HNSW,14,308,10300,100.0,2525.472061657033,-2520.472061657033
5662,HNSW,14,308,10400,100.0,2420.0606990779743,-2415.0606990779743
5663,HNSW,14,308,10500,100.0,2160.93190518143,-2155.93190518143
5664,HNSW,14,308,10600,100.0,2625.378067100651,-2620.378067100651
5665,HNSW,14,308,10700,100.0,2520.691126536254,-2515.691126536254
5666,HNSW,14,308,10800,100.0,2541.6943400799905,-2536.6943400799905
5667,HNSW,14,308,10900,100.0,2544.7013499165782,-2539.7013499165782
5668,HNSW,14,308,11000,100.0,2547.436956416112,-2542.436956416112
5669,HNSW,14,308,11100,100.0,2574.3297652951,-2569.3297652951
5670,HNSW,14,308,11200,100.0,1915.2160512148455,-1910.2160512148455
5671,HNSW,14,308,11300,100.0,2132.649958560235,-2127.649958560235
5672,HNSW,14,308,11400,100.0,2805.7234214768782,-2800.7234214768782
5673,HNSW,14,308,11500,100.0,2643.2967600849524,-2638.2967600849524
5674,HNSW,14,308,11600,100.0,2605.335768282305,-2600.335768282305
5675,HNSW,14,308,11700,100.0,2612.3457712837185,-2607.3457712837185
5676,HNSW,14,308,11800,100.0,1746.5205369932376,-1741.5205369932376
5677,HNSW,14,308,11900,100.0,2739.8888184840903,-2734.8888184840903
5678,HNSW,14,308,12000,100.0,2340.388585713169,-2335.388585713169
5679,HNSW,14,308,12100,100.0,2676.9533194623505,-2671.9533194623505
5680,HNSW,14,308,12200,100.0,2573.997999374037,-2568.997999374037
5681,HNSW,14,308,12300,100.0,2577.953152754473,-2572.953152754473
5682,HNSW,14,308,12400,100.0,2580.347958756798,-2575.347958756798
5683,HNSW,14,308,12500,100.0,2596.49739688121,-2591.49739688121
5684,HNSW,14,308,12600,100.0,2357.4365719039106,-2352.4365719039106
5685,HNSW,14,308,12700,100.0,2261.677747760864,-2256.677747760864
5686,HNSW,14,308,12800,100.0,2701.523280753847,-2696.523280753847
5687,HNSW,14,308,12900,100.0,2650.295087768075,-2645.295087768075
5688,HNSW,14,308,13000,100.0,2654.27000208833,-2649.27000208833
5689,HNSW,14,308,13100,100.0,2626.627589489241,-2621.627589489241
5690,HNSW,14,308,13200,100.0,2602.312999454013,-2597.312999454013
5691,HNSW,14,308,13300,100.0,2514.9929244717337,-2509.9929244717337
5692,HNSW,14,308,13400,100.0,2111.2764393794487,-2106.2764393794487
5693,HNSW,14,308,13500,100.0,2541.324737645719,-2536.324737645719
5694,HNSW,14,308,13600,100.0,2624.293919637606,-2619.293919637606
5695,HNSW,14,308,13700,100.0,2591.187881483678,-2586.187881483678
5696,HNSW,14,308,13800,100.0,2590.8837646012344,-2585.8837646012344
5697,HNSW,14,308,13900,100.0,2591.428024194794,-2586.428024194794
5698,HNSW,14,308,14000,100.0,2535.303077927416,-2530.303077927416
5699,HNSW,14,308,14100,100.0,2516.9700133820606,-2511.9700133820606
5700,HNSW,14,308,14200,100.0,2535.2877530419432,-2530.2877530419432
