index_type,m,nlist,nprobe,recall,query_per_sec,loss
"IVF_PQ","2","1201","1","24.76","14382.278915063607","7038382.278915063"
"IVF_PQ","2","1201","120","55.37","15414.568173465637","3978414.5681734663"
"IVF_PQ","2","1201","100","55.37","15943.68038925001","3978943.6803892506"
"IVF_PQ","4","1201","1","24.81","13925.31208499336","7032925.312084993"
"IVF_PQ","4","1201","120","61.47","13578.633170384279","3366578.6331703844"
"IVF_PQ","4","1201","100","61.47","14612.263099219621","3367612.2630992197"
"IVF_PQ","8","1201","1","24.83","2452.651583816246","7019452.651583816"
"IVF_PQ","8","1201","120","70.69","2559.3907700193436","2433559.3907700195"
"IVF_PQ","8","1201","100","70.69","9148.081746602978","2440148.081746603"
"IVF_PQ","1","1301","1","24.64","14552.439109013947","7050552.439109014"
"IVF_PQ","1","1301","130","49.5","16391.68360168829","4566391.683601689"
"IVF_PQ","1","1301","100","49.5","14763.997324791439","4564763.997324792"
"IVF_PQ","2","1301","1","24.76","14049.857635748502","7038049.857635748"
"IVF_PQ","2","1301","130","55.37","14751.016388830274","3977751.0163888307"
"IVF_PQ","2","1301","100","55.37","15258.672875436554","3978258.672875437"
"IVF_PQ","4","1301","1","24.81","2925.020572687839","7021925.0205726875"
"IVF_PQ","4","1301","130","61.47","2693.6119656033857","3355693.611965603"
"IVF_PQ","4","1301","100","61.47","9994.290752257726","3362994.2907522577"
"IVF_PQ","8","1301","1","24.83","11293.833809036567","7028293.833809037"
"IVF_PQ","8","1301","130","70.69","11767.869367600022","2442767.8693676"
"IVF_PQ","8","1301","100","70.69","13726.164217691527","2444726.1642176914"
"IVF_PQ","1","1401","1","24.64","14936.980056980057","7050936.98005698"
"IVF_PQ","1","1401","140","49.5","14630.612529649783","4564630.612529649"
"IVF_PQ","1","1401","100","49.5","15914.03854909698","4565914.038549097"
"IVF_PQ","2","1401","1","24.76","14775.959980271966","7038775.959980271"
"IVF_PQ","2","1401","140","55.37","14028.710950565255","3977028.7109505655"
"IVF_PQ","2","1401","100","55.37","15198.405623799688","3978198.4056238"
"IVF_PQ","4","1401","1","24.81","14000.146867385427","7033000.146867385"
"IVF_PQ","4","1401","140","61.47","12482.304624724718","3365482.3046247247"
"IVF_PQ","4","1401","100","61.47","14076.262711011175","3367076.2627110113"
"IVF_PQ","8","1401","1","24.83","2101.5021093663886","7019101.5021093665"
"IVF_PQ","8","1401","140","70.69","4640.589491386654","2435640.5894913864"
"IVF_PQ","8","1401","100","70.69","10630.871394535408","2441630.8713945355"
"IVF_PQ","1","1501","1","24.64","15323.33771737542","7051323.337717376"
"IVF_PQ","1","1501","150","49.5","14862.350731724602","4564862.350731725"
"IVF_PQ","1","1501","100","49.5","17288.96949711459","4567288.969497114"
"IVF_PQ","2","1501","1","24.76","13971.69886742172","7037971.698867421"
"IVF_PQ","2","1501","150","55.37","13804.772405621565","3976804.772405622"
"IVF_PQ","2","1501","100","55.37","15742.611567766393","3978742.611567767"
"IVF_PQ","4","1501","1","24.81","11682.647206283773","7030682.647206284"
"IVF_PQ","4","1501","150","61.47","13400.332268370606","3366400.332268371"
"IVF_PQ","4","1501","100","61.47","13899.009179176193","3366899.0091791763"
"IVF_PQ","8","1501","1","24.83","11929.53155664268","7028929.531556643"
"IVF_PQ","8","1501","150","70.69","11636.62190655865","2442636.6219065585"
"IVF_PQ","8","1501","100","70.69","12935.40169622205","2443935.401696222"
"IVF_PQ","1","1601","1","24.64","14446.180340290693","7050446.180340291"
"IVF_PQ","1","1601","160","49.5","14451.65558350274","4564451.655583503"
"IVF_PQ","1","1601","100","49.5","11821.600901916572","4561821.600901917"
"IVF_PQ","2","1601","1","24.76","13834.369021703278","7037834.369021703"
