index_type, nlist, nprobe, recall, query_per_sec, loss
IVF_FLAT,8701,301,100,10459.610972568578,10464.610972568578
IVF_FLAT,8701,401,100,10195.196888672825,10200.196888672825
IVF_FLAT,8701,501,100,10161.850999394306,10166.850999394306
IVF_FLAT,8701,601,100,9875.456771520061,9880.456771520061
IVF_FLAT,8701,701,100,10206.112517033287,10211.112517033287
IVF_FLAT,8701,801,100,8956.637980738431,8961.637980738431
IVF_FLAT,8801,1,24.88,14227.142905600216,7026227.1429056
IVF_FLAT,8801,101,100,12138.754956154313,12143.754956154313
IVF_FLAT,8801,201,100,9880.807557304059,9885.807557304059
IVF_FLAT,8801,301,100,7072.428968889638,7077.428968889638
IVF_FLAT,8801,401,100,10186.778063826687,10191.778063826687
IVF_FLAT,8801,501,100,10272.603477834926,10277.603477834926
IVF_FLAT,8801,601,100,10279.652958188324,10284.652958188324
IVF_FLAT,8801,701,100,10247.004788429591,10252.004788429591
IVF_FLAT,8801,801,100,9811.696453635257,9816.696453635257
IVF_FLAT,8901,1,24.88,15328.937943132813,7027328.937943133
IVF_FLAT,8901,101,100,11647.608997500694,11652.608997500694
IVF_FLAT,8901,201,100,9032.245838447789,9037.245838447789
IVF_FLAT,8901,301,100,9702.972679112592,9707.972679112592
IVF_FLAT,8901,401,100,9965.321105276913,9970.321105276913
IVF_FLAT,8901,501,100,9336.235948803562,9341.235948803562
IVF_FLAT,8901,601,100,9748.754183711417,9753.754183711417
IVF_FLAT,8901,701,100,8585.20929280524,8590.20929280524
IVF_FLAT,8901,801,100,8572.925907000512,8577.925907000512
IVF_FLAT,9001,1,24.88,14870.7817762808,7026870.781776281
IVF_FLAT,9001,101,100,12090.118759368153,12095.118759368153
IVF_FLAT,9001,201,100,9645.404162354835,9650.404162354835
IVF_FLAT,9001,301,100,8416.88874618719,8421.88874618719
IVF_FLAT,9001,401,100,7294.568601193064,7299.568601193064
IVF_FLAT,9001,501,100,8771.208097199858,8776.208097199858
IVF_FLAT,9001,601,100,9507.875051004215,9512.875051004215
IVF_FLAT,9001,701,100,8569.773001246347,8574.773001246347
IVF_FLAT,9001,801,100,9620.183949173146,9625.183949173146
IVF_FLAT,9101,1,24.88,14545.373838257734,7026545.373838258
IVF_FLAT,9101,101,100,12767.271399001584,12772.271399001584
IVF_FLAT,9101,201,100,11415.867831577802,11420.867831577802
IVF_FLAT,9101,301,100,10227.764637030896,10232.764637030896
IVF_FLAT,9101,401,100,10356.561890417048,10361.561890417048
IVF_FLAT,9101,501,100,10141.947964019731,10146.947964019731
IVF_FLAT,9101,601,100,9550.5248537013,9555.5248537013
IVF_FLAT,9101,701,100,9879.643849813916,9884.643849813916
IVF_FLAT,9101,801,100,9707.913435944914,9712.913435944914
IVF_FLAT,9101,901,100,9722.08984284456,9727.08984284456
IVF_FLAT,9201,1,24.88,14111.307741479663,7026111.30774148
IVF_FLAT,9201,101,100,11618.89249009668,11623.89249009668
IVF_FLAT,9201,201,100,10357.073363459021,10362.073363459021
IVF_FLAT,9201,301,100,9888.494907582044,9893.494907582044
IVF_FLAT,9201,401,100,9686.614318706697,9691.614318706697
IVF_FLAT,9201,501,100,9549.00282305801,9554.00282305801
IVF_FLAT,9201,601,100,9497.75593849777,9502.75593849777
IVF_FLAT,9201,701,100,9473.300959909655,9478.300959909655
IVF_FLAT,9201,801,100,9311.570908445075,9316.570908445075
IVF_FLAT,9201,901,100,9586.980571428572,9591.980571428572
IVF_FLAT,9301,1,24.88,15512.62667357053,7027512.626673571
IVF_FLAT,9301,101,100,12669.316740167946,12674.316740167946
IVF_FLAT,9301,201,100,10930.636922756177,10935.636922756177
IVF_FLAT,9301,301,100,8536.980725000509,8541.980725000509
IVF_FLAT,9301,401,100,8685.837354262876,8690.837354262876
IVF_FLAT,9301,501,100,8897.547730165465,8902.547730165465
IVF_FLAT,9301,601,100,10152.995570187117,10157.995570187117
IVF_FLAT,9301,701,100,8918.737773241473,8923.737773241473
IVF_FLAT,9301,801,100,10167.516726461747,10172.516726461747
IVF_FLAT,9301,901,100,10070.357743097238,10075.357743097238
IVF_FLAT,9401,1,24.88,13889.343665143388,7025889.3436651435
IVF_FLAT,9401,101,100,12150.711202526145,12155.711202526145
IVF_FLAT,9401,201,100,8152.352815409435,8157.352815409435
IVF_FLAT,9401,301,100,8361.183318714617,8366.183318714617
IVF_FLAT,9401,401,100,8556.137165704495,8561.137165704495
IVF_FLAT,9401,501,100,9712.409401412528,9717.409401412528
IVF_FLAT,9401,601,100,9702.972679112592,9707.972679112592
IVF_FLAT,9401,701,100,9636.982744755647,9641.982744755647
IVF_FLAT,9401,801,100,10055.389336401995,10060.389336401995
IVF_FLAT,9401,901,100,10235.501976670408,10240.501976670408
IVF_FLAT,9501,1,24.88,15180.802779688009,7027180.802779688
IVF_FLAT,9501,101,100,12525.919068239511,12530.919068239511
IVF_FLAT,9501,201,100,10983.878908500497,10988.878908500497
IVF_FLAT,9501,301,100,10016.726769039715,10021.726769039715
IVF_FLAT,9501,401,100,10216.553807180786,10221.553807180786
IVF_FLAT,9501,501,100,8633.808151502675,8638.808151502675
IVF_FLAT,9501,601,100,9692.658239548911,9697.658239548911
IVF_FLAT,9501,701,100,9580.848828178538,9585.848828178538
IVF_FLAT,9501,801,100,9654.506951477764,9659.506951477764
IVF_FLAT,9501,901,100,9595.534304866052,9600.534304866052
