index_type,m,nlist,nprobe,recall,query_per_sec,loss
IVF_PQ,4,13701,100,61.47,12327.486480131673,3340672.5135198683
IVF_PQ,8,13701,1,24.83,11714.951261067508,7005285.048738932
IVF_PQ,8,13701,1370,70.69,8953.196576088116,2422046.803423912
IVF_PQ,8,13701,100,70.69,12153.88003477253,2418846.1199652273
IVF_PQ,16,13701,1,24.84,1684.2226996205352,7014315.777300379
IVF_PQ,16,13701,1370,81.13,1553.7048767387157,1385446.2951232619
IVF_PQ,16,13701,100,81.13,6730.80959640536,1380269.190403595
IVF_PQ,32,13701,1,24.86,7593.837017724911,7006406.162982275
IVF_PQ,32,13701,1370,88.42,5507.082271999159,652492.9177280007
IVF_PQ,32,13701,100,88.42,7192.002606354704,650807.9973936452
IVF_PQ,64,13701,1,24.88,4394.932676690942,7007605.067323309
IVF_PQ,64,13701,1370,94.44,2454.589292820525,53545.410707179704
IVF_PQ,64,13701,100,94.44,5516.643430224911,50483.356569775315
IVF_PQ,128,13701,1,24.88,2757.1068909529536,7009242.893109047
IVF_PQ,128,13701,1370,98.1,1072.5090392099705,-1069.4090392099706
IVF_PQ,128,13701,100,98.1,2001.8919705799528,-1998.791970579953
IVF_PQ,1,13801,1,24.64,15069.536162109725,7020930.46383789
IVF_PQ,1,13801,1380,49.5,11766.878945153598,4538233.121054847
IVF_PQ,1,13801,100,49.5,14148.913776818243,4535851.086223181
IVF_PQ,2,13801,1,24.76,12617.483905902172,7011382.516094097
IVF_PQ,2,13801,1380,55.37,11379.01247965274,3951620.987520348
IVF_PQ,2,13801,100,55.37,14476.595450937079,3948523.404549063
IVF_PQ,4,13801,1,24.81,11233.639553258163,7007766.360446742
IVF_PQ,4,13801,1380,61.47,9877.78248787151,3343122.2175121284
IVF_PQ,4,13801,100,61.47,12330.38570084666,3340669.6142991534
IVF_PQ,8,13801,1,24.83,11009.538808830092,7005990.46119117
IVF_PQ,8,13801,1380,70.69,9914.909108101081,2421085.090891899
IVF_PQ,8,13801,100,70.69,12402.211774446318,2418597.7882255535
IVF_PQ,16,13801,1,24.84,9830.0928095997,7006169.9071904
IVF_PQ,16,13801,1380,81.13,8491.52528647204,1378508.4747135285
IVF_PQ,16,13801,100,81.13,9978.360374934577,1377021.639625066
IVF_PQ,32,13801,1,24.86,8049.097084956534,7005950.902915044
IVF_PQ,32,13801,1380,88.42,6031.498418176589,651968.5015818233
IVF_PQ,32,13801,100,88.42,7850.09170877784,650149.9082912221
IVF_PQ,64,13801,1,24.88,4443.448137044061,7007556.551862956
IVF_PQ,64,13801,1380,94.44,2756.001787263122,53243.998212737104
IVF_PQ,64,13801,100,94.44,5389.5429371779555,50610.45706282227
IVF_PQ,128,13801,1,24.88,2815.044699186555,7009184.955300814
IVF_PQ,128,13801,1380,98.1,1030.4554410688052,-1027.3554410688052
IVF_PQ,128,13801,100,98.1,2333.9291080073453,-2330.8291080073454
IVF_PQ,1,13901,1,24.64,13814.775534402688,7022185.224465597
IVF_PQ,1,13901,1390,49.5,11756.983882270497,4538243.016117729
IVF_PQ,1,13901,100,49.5,14692.111531455794,4535307.888468544
IVF_PQ,2,13901,1,24.76,12922.648427149767,7011077.351572849
IVF_PQ,2,13901,1390,55.37,10851.734754598847,3952148.2652454018
IVF_PQ,2,13901,100,55.37,14446.180340290693,3948553.81965971
IVF_PQ,4,13901,1,24.81,9168.879658979124,7009831.120341021
IVF_PQ,4,13901,1390,61.47,10542.690528855821,3342457.3094711443
IVF_PQ,4,13901,100,61.47,13158.187978416363,3339841.812021584
IVF_PQ,8,13901,1,24.83,10466.658348513962,7006533.341651486
IVF_PQ,8,13901,1390,70.69,9549.437639451755,2421450.5623605484
