index_type,m,nlist,nprobe,recall,query_pre_sec,loss
"IVF_PQ",4,14601,1460,61.47,2218.292979616878,3355218.2929796167
"IVF_PQ",4,14601,100,61.47,8114.3431998452315,3361114.3431998454
"IVF_PQ",8,14601,1,24.83,10314.538658272673,7027314.5386582725
"IVF_PQ",8,14601,1460,70.69,8440.771970779417,2439440.7719707796
"IVF_PQ",8,14601,100,70.69,11333.506268914829,2442333.506268915
"IVF_PQ",16,14601,1,24.84,8767.17459919316,7024767.174599193
"IVF_PQ",16,14601,1460,81.13,6590.776096418863,1393590.7760964194
"IVF_PQ",16,14601,100,81.13,9804.586362467566,1396804.586362468
"IVF_PQ",32,14601,1,24.86,1698.2362944367965,7015698.236294437
"IVF_PQ",32,14601,1460,88.42,1009.7753809856273,659009.7753809855
"IVF_PQ",32,14601,100,88.42,4184.88800199551,662184.8880019954
"IVF_PQ",64,14601,1,24.88,4331.213663916397,7016331.213663916
"IVF_PQ",64,14601,1460,94.44,2606.8740910164456,58606.874091016674
"IVF_PQ",64,14601,100,94.44,5133.158732101334,61133.15873210156
"IVF_PQ",128,14601,1,24.88,2626.232874996869,7014626.232874997
"IVF_PQ",128,14601,1460,98.1,1029.782469923889,1032.882469923889
"IVF_PQ",128,14601,100,98.1,2453.612879071509,2456.7128790715087
"IVF_PQ",1,14701,1,24.64,14243.086117902743,7050243.086117903
"IVF_PQ",1,14701,1470,49.5,13039.96269236748,4563039.962692368
"IVF_PQ",1,14701,100,49.5,14235.351615530817,4564235.35161553
"IVF_PQ",2,14701,1,24.76,13836.194497591872,7037836.194497591
"IVF_PQ",2,14701,1470,55.37,11071.146891909726,3974071.14689191
"IVF_PQ",2,14701,100,55.37,13602.853992346112,3976602.8539923467
"IVF_PQ",4,14701,1,24.81,13103.92401899525,7032103.924018995
"IVF_PQ",4,14701,1470,61.47,11055.097522403796,3364055.0975224036
"IVF_PQ",4,14701,100,61.47,13184.245434256436,3366184.2454342563
"IVF_PQ",8,14701,1,24.83,11262.900107411386,7028262.900107412
"IVF_PQ",8,14701,1470,70.69,8660.370423902046,2439660.370423902
"IVF_PQ",8,14701,100,70.69,13203.336796046211,2444203.3367960462
"IVF_PQ",16,14701,1,24.84,8796.409546579422,7024796.409546579
"IVF_PQ",16,14701,1470,81.13,6622.4109891844955,1393622.4109891849
"IVF_PQ",16,14701,100,81.13,10159.143535338855,1397159.1435353393
"IVF_PQ",32,14701,1,24.86,7365.017822964407,7021365.017822964
"IVF_PQ",32,14701,1470,88.42,5807.596128549868,663807.5961285498
"IVF_PQ",32,14701,100,88.42,8320.876068799967,666320.8760687999
"IVF_PQ",64,14701,1,24.88,4479.132004143484,7016479.132004144
"IVF_PQ",64,14701,1470,94.44,2380.0710451352243,58380.07104513545
"IVF_PQ",64,14701,100,94.44,5553.530619000331,61553.53061900056
"IVF_PQ",128,14701,1,24.88,2753.378453782175,7014753.378453782
"IVF_PQ",128,14701,1470,98.1,1102.8384067059494,1105.9384067059493
"IVF_PQ",128,14701,100,98.1,2104.3699890624844,2107.4699890624843
"IVF_PQ",1,14801,1,24.64,13588.751376919588,7049588.751376919
"IVF_PQ",1,14801,1480,49.5,12324.22648605765,4562324.226486058
"IVF_PQ",1,14801,100,49.5,14767.636081966059,4564767.636081966
"IVF_PQ",2,14801,1,24.76,14197.765892627445,7038197.765892627
"IVF_PQ",2,14801,1480,55.37,11088.41537566753,3974088.415375668
"IVF_PQ",2,14801,100,55.37,14687.481177994887,3977687.4811779954
"IVF_PQ",4,14801,1,24.81,13360.63453636161,7032360.634536361
"IVF_PQ",4,14801,1480,61.47,11471.757562496581,3364471.7575624967
"IVF_PQ",4,14801,100,61.47,12907.13934022649,3365907.1393402265
"IVF_PQ",8,14801,1,24.83,10478.163331584601,7027478.163331585
"IVF_PQ",8,14801,1480,70.69,8796.594031165454,2439796.5940311654
"IVF_PQ",8,14801,100,70.69,12011.86780457071,2443011.8678045706
"IVF_PQ",16,14801,1,24.84,9773.287352036536,7025773.287352037
"IVF_PQ",16,14801,1480,81.13,8148.235065565808,1395148.2350655664
"IVF_PQ",16,14801,100,81.13,11586.475138121546,1398586.475138122
"IVF_PQ",32,14801,1,24.86,7998.138860815011,7021998.138860815
"IVF_PQ",32,14801,1480,88.42,5504.8416521202735,663504.8416521201
"IVF_PQ",32,14801,100,88.42,9746.941810745491,667746.9418107454
"IVF_PQ",64,14801,1,24.88,1035.5897050980702,7013035.589705098
"IVF_PQ",64,14801,1480,94.44,1175.8631903560415,57175.863190356264
"IVF_PQ",64,14801,100,94.44,3412.0005206299625,59412.00052063019
"IVF_PQ",128,14801,1,24.88,2657.2632299183365,7014657.263229919
"IVF_PQ",128,14801,1480,98.1,993.0425765148484,996.1425765148484
"IVF_PQ",128,14801,100,98.1,2477.277908700557,2480.377908700557
"IVF_PQ",1,14901,1,24.64,13470.914696813978,7049470.914696814
"IVF_PQ",1,14901,1490,49.5,12757.175010645416,4562757.175010646
"IVF_PQ",1,14901,100,49.5,15047.370309248763,4565047.370309249
"IVF_PQ",2,14901,1,24.76,2924.062157960416,7026924.06215796
"IVF_PQ",2,14901,1490,55.37,4128.820900517788,3967128.8209005184
"IVF_PQ",2,14901,100,55.37,10034.700224891143,3973034.700224892
"IVF_PQ",4,14901,1,24.81,2797.041779200427,7021797.041779201
"IVF_PQ",4,14901,1490,61.47,1992.2500724358883,3354992.250072436
"IVF_PQ",4,14901,100,61.47,9606.963054582102,3362606.963054582
"IVF_PQ",8,14901,1,24.83,11622.756117161305,7028622.756117161
"IVF_PQ",8,14901,1490,70.69,8887.555357786112,2439887.555357786
